index,name,team,minutes
Jefferson Lerma Solís2024-11-09T15:00:00Z,Jefferson Lerma Solís,Crystal Palace,1
Ismaïla Sarr2024-11-09T15:00:00Z,Ismaïla Sarr,Crystal Palace,1
Mateus Gonçalo Espanha Fernandes2024-11-09T15:00:00Z,Mateus Gonçalo Espanha Fernandes,Southampton,1
Kaden Rodney2024-11-09T15:00:00Z,Kaden Rodney,Crystal Palace,0
Franco Umeh-Chibueze2024-11-09T15:00:00Z,Franco Umeh-Chibueze,Crystal Palace,0
Asher Agbinone2024-11-09T15:00:00Z,Asher Agbinone,Crystal Palace,0
Justin Devenny2024-11-09T15:00:00Z,Justin Devenny,Crystal Palace,0
Will Smallbone2024-11-09T15:00:00Z,Will Smallbone,Southampton,1
Adam Lallana2024-11-09T15:00:00Z,Adam Lallana,Southampton,1
Kamaldeen Sulemana2024-11-09T15:00:00Z,Kamaldeen Sulemana,Southampton,1
Flynn Downes2024-11-09T15:00:00Z,Flynn Downes,Southampton,1
Joe Aribo2024-11-09T15:00:00Z,Joe Aribo,Southampton,1
Shea Charles2024-11-09T15:00:00Z,Shea Charles,Southampton,0
Samuel Edozie2024-11-09T15:00:00Z,Samuel Edozie,Southampton,0
Carlos Alcaraz Durán2024-11-09T15:00:00Z,Carlos Alcaraz Durán,Southampton,0
Samuel Amo-Ameyaw2024-11-09T15:00:00Z,Samuel Amo-Ameyaw,Southampton,0
Tyler Dibling2024-11-09T15:00:00Z,Tyler Dibling,Southampton,1
Lesley Ugochukwu2024-11-09T15:00:00Z,Lesley Ugochukwu,Southampton,0
Ben Brereton Díaz2024-11-09T15:00:00Z,Ben Brereton Díaz,Southampton,0
Jacob Wright2024-11-09T17:30:00Z,Jacob Wright,Man City,0
Jayce Fitzgerald2024-11-10T14:00:00Z,Jayce Fitzgerald,Man Utd,0
Paris Maghoma2024-11-09T15:00:00Z,Paris Maghoma,Brentford,0
